ref,title,listingKind,propertyType,area,city,compound,price,rentPrice,rentPeriod,currency,unitAreaSqm,bedrooms,bathrooms,finish,furnished,availability,status,deliveryDate,isAssignment,downPaymentPaid,isFeatured,address,description
MARASSI-009-02,190 sqm townhouse in Marassi - 3 BR,sale,townhouse,North Coast,North Coast,Marassi,17250000,,,EGP,190,3,3,fully_finished,True,available,active,2026-04-19,False,,True,"Marassi, North Coast","Townhouse for sale in Marassi. 190 sqm, fully finished, furnished, 3 bedrooms, 3 bathrooms. Delivery: 2026-04-19."
MARASSI-009-03,385 sqm villa in Marassi - 5 BR,sale,villa,North Coast,North Coast,Marassi,65500000,,,EGP,385,5,4,semi_finished,False,available,active,2026-04-08,False,,True,"Marassi, North Coast","Villa for sale in Marassi. 385 sqm, semi finished, unfurnished, 5 bedrooms, 4 bathrooms. Delivery: 2026-04-08."
MIVIDA-010-01,120 sqm apartment in Mivida - 2 BR,sale,apartment,New Cairo,New Cairo,Mivida,11100000,,,EGP,120,2,2,finished,False,available,active,2025-08-18,False,,True,"Mivida, New Cairo","Apartment for sale in Mivida. 120 sqm, finished, unfurnished, 2 bedrooms, 2 bathrooms. Delivery: 2025-08-18."
MIVIDA-010-02,165 sqm apartment in Mivida - 3 BR,sale,apartment,New Cairo,New Cairo,Mivida,17750000,,,EGP,165,3,3,finished,True,available,active,2025-12-02,False,,True,"Mivida, New Cairo","Apartment for sale in Mivida. 165 sqm, finished, furnished, 3 bedrooms, 3 bathrooms. Delivery: 2025-12-02."
MIVIDA-010-03,260 sqm duplex in Mivida - 4 BR,sale,duplex,New Cairo,New Cairo,Mivida,27800000,,,EGP,260,4,4,semi_finished,False,available,active,2025-10-05,False,,True,"Mivida, New Cairo","Duplex for sale in Mivida. 260 sqm, semi finished, unfurnished, 4 bedrooms, 4 bathrooms. Delivery: 2025-10-05."
UPTOWN-C-011-01,115 sqm apartment in Uptown Cairo - 2 BR,sale,apartment,Mokattam,Mokattam,Uptown Cairo,7000000,,,EGP,115,2,2,finished,False,available,active,2026-11-27,False,,True,"Uptown Cairo, Mokattam","Apartment for sale in Uptown Cairo. 115 sqm, finished, unfurnished, 2 bedrooms, 2 bathrooms. Delivery: 2026-11-27."
UPTOWN-C-011-02,175 sqm apartment in Uptown Cairo - 3 BR,sale,apartment,Mokattam,Mokattam,Uptown Cairo,15000000,,,EGP,175,3,3,finished,False,available,active,2027-01-05,False,,True,"Uptown Cairo, Mokattam","Apartment for sale in Uptown Cairo. 175 sqm, finished, unfurnished, 3 bedrooms, 3 bathrooms. Delivery: 2027-01-05."
UPTOWN-C-011-03,250 sqm duplex in Uptown Cairo - 4 BR,sale,duplex,Mokattam,Mokattam,Uptown Cairo,18100000,,,EGP,250,4,4,finished,True,available,active,2027-01-15,False,,True,"Uptown Cairo, Mokattam","Duplex for sale in Uptown Cairo. 250 sqm, finished, furnished, 4 bedrooms, 4 bathrooms. Delivery: 2027-01-15."
ZED-EAST-012-01,120 sqm apartment in ZED East - 2 BR,sale,apartment,New Cairo,New Cairo,ZED East,8150000,,,EGP,120,2,2,fully_finished,False,available,active,2029-05-19,False,,True,"ZED East, New Cairo","Apartment for sale in ZED East. 120 sqm, fully finished, unfurnished, 2 bedrooms, 2 bathrooms. Delivery: 2029-05-19."
ZED-EAST-012-02,185 sqm apartment in ZED East - 3 BR,sale,apartment,New Cairo,New Cairo,ZED East,16600000,,,EGP,185,3,3,semi_finished,True,available,active,2029-03-02,False,,True,"ZED East, New Cairo","Apartment for sale in ZED East. 185 sqm, semi finished, furnished, 3 bedrooms, 3 bathrooms. Delivery: 2029-03-02."
ZED-EAST-012-03,265 sqm duplex in ZED East - 4 BR,sale,duplex,New Cairo,New Cairo,ZED East,15200000,,,EGP,265,4,4,semi_finished,False,available,active,2029-04-28,False,,True,"ZED East, New Cairo","Duplex for sale in ZED East. 265 sqm, semi finished, unfurnished, 4 bedrooms, 4 bathrooms. Delivery: 2029-04-28."
ZED-WEST-013-01,105 sqm apartment in ZED West - 2 BR,sale,apartment,Sheikh Zayed,Sheikh Zayed,ZED West,5650000,,,EGP,105,2,2,fully_finished,True,available,active,2028-01-03,False,,True,"ZED West, Sheikh Zayed","Apartment for sale in ZED West. 105 sqm, fully finished, furnished, 2 bedrooms, 2 bathrooms. Delivery: 2028-01-03."
ZED-WEST-013-02,165 sqm apartment in ZED West - 3 BR,sale,apartment,Sheikh Zayed,Sheikh Zayed,ZED West,16150000,,,EGP,165,3,3,finished,False,available,active,2028-05-07,False,,True,"ZED West, Sheikh Zayed","Apartment for sale in ZED West. 165 sqm, finished, unfurnished, 3 bedrooms, 3 bathrooms. Delivery: 2028-05-07."
ZED-WEST-013-03,255 sqm duplex in ZED West - 4 BR,sale,duplex,Sheikh Zayed,Sheikh Zayed,ZED West,15200000,,,EGP,255,4,4,fully_finished,True,available,active,2028-05-02,False,,True,"ZED West, Sheikh Zayed","Duplex for sale in ZED West. 255 sqm, fully finished, furnished, 4 bedrooms, 4 bathrooms. Delivery: 2028-05-02."
SOLANA-014-01,95 sqm apartment in Solana - 2 BR,sale,apartment,West Cairo,West Cairo,Solana,7550000,,,EGP,95,2,2,finished,False,available,active,2030-04-06,False,,True,"Solana, West Cairo","Apartment for sale in Solana. 95 sqm, finished, unfurnished, 2 bedrooms, 2 bathrooms. Delivery: 2030-04-06."
SOLANA-014-02,140 sqm apartment in Solana - 3 BR,sale,apartment,West Cairo,West Cairo,Solana,9150000,,,EGP,140,3,2,finished,True,available,active,2030-03-25,False,,True,"Solana, West Cairo","Apartment for sale in Solana. 140 sqm, finished, furnished, 3 bedrooms, 2 bathrooms. Delivery: 2030-03-25."
SOLANA-014-03,215 sqm townhouse in Solana - 3 BR,sale,townhouse,West Cairo,West Cairo,Solana,16500000,,,EGP,215,3,3,fully_finished,False,available,active,2030-05-24,False,,True,"Solana, West Cairo","Townhouse for sale in Solana. 215 sqm, fully finished, unfurnished, 3 bedrooms, 3 bathrooms. Delivery: 2030-05-24."
MOUNTAIN-015-01,90 sqm apartment in Mountain View iCity New Cairo - 2 BR,sale,apartment,New Cairo,New Cairo,Mountain View iCity New Cairo,6300000,,,EGP,90,2,2,fully_finished,False,available,active,2027-10-04,False,,True,"Mountain View iCity New Cairo, New Cairo","Apartment for sale in Mountain View iCity New Cairo. 90 sqm, fully finished, unfurnished, 2 bedrooms, 2 bathrooms. Delivery: 2027-10-04."
MOUNTAIN-015-02,155 sqm apartment in Mountain View iCity New Cairo - 3 BR,sale,apartment,New Cairo,New Cairo,Mountain View iCity New Cairo,14150000,,,EGP,155,3,2,fully_finished,True,available,active,2027-12-28,False,,True,"Mountain View iCity New Cairo, New Cairo","Apartment for sale in Mountain View iCity New Cairo. 155 sqm, fully finished, furnished, 3 bedrooms, 2 bathrooms. Delivery: 2027-12-28."
MOUNTAIN-015-03,205 sqm townhouse in Mountain View iCity New Cairo - 3 BR,sale,townhouse,New Cairo,New Cairo,Mountain View iCity New Cairo,12700000,,,EGP,205,3,3,fully_finished,False,available,active,2027-10-02,False,,True,"Mountain View iCity New Cairo, New Cairo","Townhouse for sale in Mountain View iCity New Cairo. 205 sqm, fully finished, unfurnished, 3 bedrooms, 3 bathrooms. Delivery: 2027-10-02."
MOUNTAIN-016-01,85 sqm apartment in Mountain View iCity October - 2 BR,sale,apartment,October,October,Mountain View iCity October,5400000,,,EGP,85,2,2,fully_finished,True,available,active,2028-04-07,False,,True,"Mountain View iCity October, October","Apartment for sale in Mountain View iCity October. 85 sqm, fully finished, furnished, 2 bedrooms, 2 bathrooms. Delivery: 2028-04-07."
MOUNTAIN-016-02,145 sqm apartment in Mountain View iCity October - 3 BR,sale,apartment,October,October,Mountain View iCity October,10700000,,,EGP,145,3,2,fully_finished,True,available,active,2028-06-19,False,,True,"Mountain View iCity October, October","Apartment for sale in Mountain View iCity October. 145 sqm, fully finished, furnished, 3 bedrooms, 2 bathrooms. Delivery: 2028-06-19."
MOUNTAIN-016-03,225 sqm townhouse in Mountain View iCity October - 3 BR,sale,townhouse,October,October,Mountain View iCity October,18650000,,,EGP,225,3,3,semi_finished,False,available,active,2028-10-30,False,,True,"Mountain View iCity October, October","Townhouse for sale in Mountain View iCity October. 225 sqm, semi finished, unfurnished, 3 bedrooms, 3 bathrooms. Delivery: 2028-10-30."
MOUNTAIN-017-01,100 sqm apartment in Mountain View Hyde Park - 2 BR,sale,apartment,New Cairo,New Cairo,Mountain View Hyde Park,7400000,,,EGP,100,2,2,finished,False,available,active,2026-07-12,False,,True,"Mountain View Hyde Park, New Cairo","Apartment for sale in Mountain View Hyde Park. 100 sqm, finished, unfurnished, 2 bedrooms, 2 bathrooms. Delivery: 2026-07-12."
MOUNTAIN-017-02,150 sqm apartment in Mountain View Hyde Park - 3 BR,sale,apartment,New Cairo,New Cairo,Mountain View Hyde Park,12900000,,,EGP,150,3,2,semi_finished,False,available,active,2026-08-23,False,,True,"Mountain View Hyde Park, New Cairo","Apartment for sale in Mountain View Hyde Park. 150 sqm, semi finished, unfurnished, 3 bedrooms, 2 bathrooms. Delivery: 2026-08-23."
MOUNTAIN-017-03,205 sqm townhouse in Mountain View Hyde Park - 3 BR,sale,townhouse,New Cairo,New Cairo,Mountain View Hyde Park,23250000,,,EGP,205,3,3,fully_finished,True,available,active,2026-09-21,False,,True,"Mountain View Hyde Park, New Cairo","Townhouse for sale in Mountain View Hyde Park. 205 sqm, fully finished, furnished, 3 bedrooms, 3 bathrooms. Delivery: 2026-09-21."
JIRIAN-018-01,85 sqm apartment in Jirian - 2 BR,sale,apartment,New Cairo,New Cairo,Jirian,6500000,,,EGP,85,2,2,fully_finished,False,available,active,2030-08-22,False,,True,"Jirian, New Cairo","Apartment for sale in Jirian. 85 sqm, fully finished, unfurnished, 2 bedrooms, 2 bathrooms. Delivery: 2030-08-22."
JIRIAN-018-02,140 sqm apartment in Jirian - 3 BR,sale,apartment,New Cairo,New Cairo,Jirian,8900000,,,EGP,140,3,2,fully_finished,False,available,active,2030-12-01,False,,True,"Jirian, New Cairo","Apartment for sale in Jirian. 140 sqm, fully finished, unfurnished, 3 bedrooms, 2 bathrooms. Delivery: 2030-12-01."
JIRIAN-018-03,220 sqm townhouse in Jirian - 3 BR,sale,townhouse,New Cairo,New Cairo,Jirian,14400000,,,EGP,220,3,3,fully_finished,False,available,active,2030-07-22,False,,True,"Jirian, New Cairo","Townhouse for sale in Jirian. 220 sqm, fully finished, unfurnished, 3 bedrooms, 3 bathrooms. Delivery: 2030-07-22."
VYE-019-01,85 sqm apartment in VYE - 2 BR,sale,apartment,New Cairo,New Cairo,VYE,7150000,,,EGP,85,2,2,fully_finished,False,available,active,2028-06-09,False,,True,"VYE, New Cairo","Apartment for sale in VYE. 85 sqm, fully finished, unfurnished, 2 bedrooms, 2 bathrooms. Delivery: 2028-06-09."
VYE-019-02,155 sqm apartment in VYE - 3 BR,sale,apartment,New Cairo,New Cairo,VYE,8650000,,,EGP,155,3,2,fully_finished,False,available,active,2027-10-19,False,,True,"VYE, New Cairo","Apartment for sale in VYE. 155 sqm, fully finished, unfurnished, 3 bedrooms, 2 bathrooms. Delivery: 2027-10-19."
VYE-019-03,220 sqm townhouse in VYE - 3 BR,sale,townhouse,New Cairo,New Cairo,VYE,19850000,,,EGP,220,3,3,semi_finished,False,available,active,2028-05-05,False,,True,"VYE, New Cairo","Townhouse for sale in VYE. 220 sqm, semi finished, unfurnished, 3 bedrooms, 3 bathrooms. Delivery: 2028-05-05."
KARMELL-020-01,85 sqm apartment in Karmell - 2 BR,sale,apartment,New Zayed,New Zayed,Karmell,4750000,,,EGP,85,2,2,semi_finished,False,available,active,2028-09-12,False,,True,"Karmell, New Zayed","Apartment for sale in Karmell. 85 sqm, semi finished, unfurnished, 2 bedrooms, 2 bathrooms. Delivery: 2028-09-12."
KARMELL-020-02,145 sqm apartment in Karmell - 3 BR,sale,apartment,New Zayed,New Zayed,Karmell,10850000,,,EGP,145,3,2,finished,False,available,active,2028-07-26,False,,True,"Karmell, New Zayed","Apartment for sale in Karmell. 145 sqm, finished, unfurnished, 3 bedrooms, 2 bathrooms. Delivery: 2028-07-26."
KARMELL-020-03,225 sqm townhouse in Karmell - 3 BR,sale,townhouse,New Zayed,New Zayed,Karmell,18000000,,,EGP,225,3,3,semi_finished,False,available,active,2028-05-20,False,,True,"Karmell, New Zayed","Townhouse for sale in Karmell. 225 sqm, semi finished, unfurnished, 3 bedrooms, 3 bathrooms. Delivery: 2028-05-20."
CAESAR-021-01,80 sqm chalet in Caesar - 2 BR,sale,chalet,North Coast,North Coast,Caesar,6700000,,,EGP,80,2,2,finished,True,available,active,2026-11-13,False,,True,"Caesar, North Coast","Chalet for sale in Caesar. 80 sqm, finished, furnished, 2 bedrooms, 2 bathrooms. Delivery: 2026-11-13."
CAESAR-021-02,130 sqm chalet in Caesar - 3 BR,sale,chalet,North Coast,North Coast,Caesar,15950000,,,EGP,130,3,2,finished,False,available,active,2026-09-07,False,,True,"Caesar, North Coast","Chalet for sale in Caesar. 130 sqm, finished, unfurnished, 3 bedrooms, 2 bathrooms. Delivery: 2026-09-07."
CAESAR-021-03,225 sqm townhouse in Caesar - 3 BR,sale,townhouse,North Coast,North Coast,Caesar,33700000,,,EGP,225,3,3,fully_finished,True,available,active,2026-12-26,False,,True,"Caesar, North Coast","Townhouse for sale in Caesar. 225 sqm, fully finished, furnished, 3 bedrooms, 3 bathrooms. Delivery: 2026-12-26."
VILLETTE-022-01,85 sqm apartment in Villette - 2 BR,sale,apartment,New Cairo,New Cairo,Villette,8100000,,,EGP,85,2,2,fully_finished,False,available,active,2025-11-10,False,,True,"Villette, New Cairo","Apartment for sale in Villette. 85 sqm, fully finished, unfurnished, 2 bedrooms, 2 bathrooms. Delivery: 2025-11-10."
VILLETTE-022-02,155 sqm apartment in Villette - 3 BR,sale,apartment,New Cairo,New Cairo,Villette,9950000,,,EGP,155,3,2,semi_finished,False,available,active,2025-06-11,False,,True,"Villette, New Cairo","Apartment for sale in Villette. 155 sqm, semi finished, unfurnished, 3 bedrooms, 2 bathrooms. Delivery: 2025-06-11."
VILLETTE-022-03,205 sqm townhouse in Villette - 3 BR,sale,townhouse,New Cairo,New Cairo,Villette,21250000,,,EGP,205,3,3,finished,True,available,active,2025-09-28,False,,True,"Villette, New Cairo","Townhouse for sale in Villette. 205 sqm, finished, furnished, 3 bedrooms, 3 bathrooms. Delivery: 2025-09-28."
LA-VISTA-023-01,85 sqm apartment in La Vista City - 2 BR,sale,apartment,New Capital,New Capital,La Vista City,6850000,,,EGP,85,2,2,finished,False,available,active,2028-10-13,False,,True,"La Vista City, New Capital","Apartment for sale in La Vista City. 85 sqm, finished, unfurnished, 2 bedrooms, 2 bathrooms. Delivery: 2028-10-13."
LA-VISTA-023-02,155 sqm apartment in La Vista City - 3 BR,sale,apartment,New Capital,New Capital,La Vista City,11950000,,,EGP,155,3,2,semi_finished,False,available,active,2029-05-27,False,,True,"La Vista City, New Capital","Apartment for sale in La Vista City. 155 sqm, semi finished, unfurnished, 3 bedrooms, 2 bathrooms. Delivery: 2029-05-27."
LA-VISTA-023-03,210 sqm townhouse in La Vista City - 3 BR,sale,townhouse,New Capital,New Capital,La Vista City,18300000,,,EGP,210,3,3,semi_finished,False,available,active,2029-02-09,False,,True,"La Vista City, New Capital","Townhouse for sale in La Vista City. 210 sqm, semi finished, unfurnished, 3 bedrooms, 3 bathrooms. Delivery: 2029-02-09."
LA-VISTA-024-01,90 sqm chalet in La Vista Ray - 2 BR,sale,chalet,Ain Sokhna,Ain Sokhna,La Vista Ray,5550000,,,EGP,90,2,2,semi_finished,True,available,active,2026-08-24,False,,True,"La Vista Ray, Ain Sokhna","Chalet for sale in La Vista Ray. 90 sqm, semi finished, furnished, 2 bedrooms, 2 bathrooms. Delivery: 2026-08-24."
LA-VISTA-024-02,145 sqm chalet in La Vista Ray - 3 BR,sale,chalet,Ain Sokhna,Ain Sokhna,La Vista Ray,11000000,,,EGP,145,3,2,fully_finished,False,available,active,2026-09-26,False,,True,"La Vista Ray, Ain Sokhna","Chalet for sale in La Vista Ray. 145 sqm, fully finished, unfurnished, 3 bedrooms, 2 bathrooms. Delivery: 2026-09-26."
LA-VISTA-024-03,225 sqm townhouse in La Vista Ray - 3 BR,sale,townhouse,Ain Sokhna,Ain Sokhna,La Vista Ray,22050000,,,EGP,225,3,3,fully_finished,False,available,active,2026-08-11,False,,True,"La Vista Ray, Ain Sokhna","Townhouse for sale in La Vista Ray. 225 sqm, fully finished, unfurnished, 3 bedrooms, 3 bathrooms. Delivery: 2026-08-11."
LA-VISTA-025-01,105 sqm apartment in La Vista Topaz - 2 BR,sale,apartment,New Cairo,New Cairo,La Vista Topaz,7800000,,,EGP,105,2,2,fully_finished,False,available,active,2025-06-24,False,,True,"La Vista Topaz, New Cairo","Apartment for sale in La Vista Topaz. 105 sqm, fully finished, unfurnished, 2 bedrooms, 2 bathrooms. Delivery: 2025-06-24."
LA-VISTA-025-02,145 sqm apartment in La Vista Topaz - 3 BR,sale,apartment,New Cairo,New Cairo,La Vista Topaz,9300000,,,EGP,145,3,2,semi_finished,False,available,active,2025-08-30,False,,True,"La Vista Topaz, New Cairo","Apartment for sale in La Vista Topaz. 145 sqm, semi finished, unfurnished, 3 bedrooms, 2 bathrooms. Delivery: 2025-08-30."
LA-VISTA-025-03,210 sqm townhouse in La Vista Topaz - 3 BR,sale,townhouse,New Cairo,New Cairo,La Vista Topaz,19750000,,,EGP,210,3,3,semi_finished,True,available,active,2025-06-14,False,,True,"La Vista Topaz, New Cairo","Townhouse for sale in La Vista Topaz. 210 sqm, semi finished, furnished, 3 bedrooms, 3 bathrooms. Delivery: 2025-06-14."
D-JOYA-026-01,105 sqm apartment in D-Joya - 2 BR,sale,apartment,New Capital,New Capital,D-Joya,8700000,,,EGP,105,2,2,finished,False,available,active,2028-11-27,False,,True,"D-Joya, New Capital","Apartment for sale in D-Joya. 105 sqm, finished, unfurnished, 2 bedrooms, 2 bathrooms. Delivery: 2028-11-27."
D-JOYA-026-02,155 sqm apartment in D-Joya - 3 BR,sale,apartment,New Capital,New Capital,D-Joya,9250000,,,EGP,155,3,2,semi_finished,False,available,active,2028-04-24,False,,True,"D-Joya, New Capital","Apartment for sale in D-Joya. 155 sqm, semi finished, unfurnished, 3 bedrooms, 2 bathrooms. Delivery: 2028-04-24."
D-JOYA-026-03,205 sqm townhouse in D-Joya - 3 BR,sale,townhouse,New Capital,New Capital,D-Joya,10000000,,,EGP,205,3,3,semi_finished,False,available,active,2028-12-10,False,,True,"D-Joya, New Capital","Townhouse for sale in D-Joya. 205 sqm, semi finished, unfurnished, 3 bedrooms, 3 bathrooms. Delivery: 2028-12-10."
