name,slug,developer,location,city,status,handoverDate,amenities,description,isFeatured
Tawny,tawny,el-attal,West Cairo,West Cairo,Under Construction,2028-06-30,,Tawny is a residential by El Attal Developments in West Cairo.,True
Park Lane,park-lane,el-attal,New Capital,New Capital,Ready to Move,2027-03-31,,Park Lane is a residential by El Attal Developments in New Capital.,True
The Ark,the-ark,gates,New Capital,New Capital,Under Construction,2029-06-30,,The Ark is a mixed-use by Gates Developments in New Capital.,True
Venia,venia,gates,New Capital,New Capital,Under Construction,2028-06-30,,Venia is a residential by Gates Developments in New Capital.,True
Taawoun,taawoun,times,New Cairo,New Cairo,Planned,2029-12-31,,Taawoun is a residential by Times Developments in New Cairo.,True
Cairo Canal,cairo-canal,times,New Cairo,New Cairo,Under Construction,2028-12-31,,Cairo Canal is a mixed-use by Times Developments in New Cairo.,True
Trio Gardens,trio-gardens,atric,New Capital,New Capital,Under Construction,2028-06-30,,Trio Gardens is a residential by Atric Developments in New Capital.,True
Catalan,catalan,atric,New Capital,New Capital,Ready to Move,2027-06-30,,Catalan is a residential by Atric Developments in New Capital.,True
Cairo House,cairo-house,capital-link,New Capital,New Capital,Under Construction,2028-06-30,,Cairo House is a commercial by Capital Link Developments in New Capital.,True
Westview,westview,upwyde,West Cairo,West Cairo,Under Construction,2029-06-30,,Westview is a residential by Upwyde Developments in West Cairo.,True
Raihana,raihana,new-plan,New Cairo,New Cairo,Ready to Move,2027-12-31,,Raihana is a residential by New Plan Developments in New Cairo.,True
Eleven,eleven,new-plan,New Capital,New Capital,Under Construction,2028-06-30,,Eleven is a commercial mixed-use by New Plan Developments in New Capital.,True
Joulz,joulz,people-and-places,West Cairo,West Cairo,Under Construction,2028-12-31,,Joulz is a residential by People & Places in West Cairo.,True
The Lane,the-lane,living-yards,New Capital,New Capital,Planned,2030-03-31,,The Lane is a residential by Living Yards Developments in New Capital.,True
Eastville,eastville,jdar,New Cairo,New Cairo,Under Construction,2029-06-30,,Eastville is a residential by JDAR Developments in New Cairo.,True
Nile Boulevard,nile-boulevard,nile-developments,New Capital,New Capital,Under Construction,2028-12-31,,Nile Boulevard is a commercial by Nile Developments in New Capital.,True
Rivan,rivan,el-batal,New Capital,New Capital,Under Construction,2028-06-30,,Rivan is a residential by El Batal Developments in New Capital.,True
Rock Capital 1,rock-capital-1,el-batal,New Capital,New Capital,Ready to Move,2027-06-30,,Rock Capital 1 is a commercial by El Batal Developments in New Capital.,True
Avenue 90,avenue-90,nacita,New Cairo,New Cairo,Ready to Move,2026-12-31,,Avenue 90 is a residential by Nacita Developments in New Cairo.,True
Citystars North Coast,citystars-north-coast,citystars-properties,North Coast,North Coast,Under Construction,2029-06-30,,Citystars North Coast is a coastal mixed-use by Citystars Properties in North Coast.,True
Madaar Azha,madaar-azha,madaar,Ain Sokhna,Ain Sokhna,Ready to Move,2026-08-31,,Madaar Azha is a coastal community by Madaar Development in Ain Sokhna.,True
Azha North,azha-north,madaar,North Coast,North Coast,Under Construction,2028-07-31,,Azha North is a coastal residential by Madaar Development in North Coast.,True
HDP Residence,hdp-residence,hdp,New Cairo,New Cairo,Under Construction,2028-03-31,,HDP Residence is a residential by HDP in New Cairo.,True
HDP North,hdp-north,hdp,New Cairo,New Cairo,Planned,2029-12-31,,HDP North is a residential by HDP in New Cairo.,True
