title,content,locale,categoryId
هل يوجد سكن للطلاب بالجامعة ؟,"نعم , ويمكن الاستفسار عن كل ماهو يخص السكن عن طريق البريد الالكتروني
 لفرع العريش dorms.a@su.edu.eg
او الرقم الخص بهم :01022227633
لفرع القنطرة dorms.k@su.edu.eg 
او الرقم الخاص بهم :01022227655
",ar,
ماهي تعليمات حجز الغرف ؟,"برجاء ارسال البيانات التاليه:
 1- تحديد نوع الغرفه
 2- تحديد نوع الحجز (سنه – ترم)
 3- الرقم اتعريفى (User name)
 4- رقم الهاتف (الطالب وولى الامر)
 5- الكليه
 6- الفرقه
",ar,
هل يوجد موصلات خاصه بالجامعة ؟,"نعم , ويمكن الاستفسار عن كل ماهو يخص السكن عن طريق البريد الالكتروني
 لفرع العريش transportation.a@su.edu.eg 
او الرقم الخص بهم :01013331500
لفرع القنطرة  transportation.k@su.edu.eg
او الرقم الخاص بهم :01022227669
",ar,
ماهي تعليمات حجز الموصلات؟," برجاء ارسال البيانات التاليه:
 1- تحديد الخط المطلوب
 2- تحديد نوع الحجز (يومى – اسبوعى)
 3- الرقم اتعريفى (User name)
 4- رقم الهاتف (الطالب وولى الامر)
 5- الكليه
 6- الفرقه
",ar,
ما الحد الأدنى للقبول في فرعي العريش والقنطرة لعام 2025؟,"أولًا: فرع العريش 2025
للثانوية العامة الأزهرية:
طب الأسنان: 73%
الصيدلة: 68%
الهندسة: 64%
تكنولوجيا المعلومات: 58%
للمعادلة العربية والأجنبية:
طب الأسنان: 75%
الصيدلة: 66%
الهندسة: 63%
تكنولوجيا المعلومات: 60%
ثانيًا: فرع القنطرة 2025
للثانوية العامة الأزهرية:
طب الأسنان: 73%
الصيدلة: 68%
العلاج الطبيعي: 72%
التكنولوجيا الحيوية: 53%
الهندسة: 64%
تكنولوجيا المعلومات: 58%
إدارة الأعمال: 52%
الإعلام: 52%
للمعادلة العربية والأجنبية:
طب الأسنان: 77%
الصيدلة: 68%
العلاج الطبيعي: 73%
التكنولوجيا الحيوية: 58%
الهندسة: 65%
تكنولوجيا المعلومات: 60%
إدارة الأعمال: 53%
الإعلام: 53%",ar,
المواصلات,"العريش: Transportation.a@su.edu.eg
القنطرة: Transportation.k@su.edu.eg",ar,
السكن (Dorms),"العريش: Dorms.A@su.edu.eg
القنطرة: Dorms.k@su.edu.eg",ar,
شئون الطلبة (OSS),"العريش: oss.a@su.edu.eg
القنطرة: oss.k@su.edu.eg",ar,
الشئون المالية,"العريش: Financial.affairs.a@su.edu.eg
القنطرة: Financial.affairs.k@su.edu.eg",ar,
التدريب (Internship) ادارة الامتياز,"القنطرة: Kantara.internship@su.edu.eg
العريش: Arish.internship@su.edu.eg",ar,
التوظيف (Hiring),Academic.hr@su.edu.eg,ar,
"التسويق
",marketing@su.edu.eg,ar,
استفسارات الخريجين,"العريش: Alumni.a@su.edu.eg
القنطرة: Alumni.k@su.edu.eg ",ar,
الاعتمادات والاعترافات الدولية,Accreditation@su.edu.eg,ar,
ماهو عنوان ومواعيد عمل فرع العريش؟ ,"مواعيد العمل:
من السبت إلى الاثنين: من 8:15 صباحًا إلى 4:00 عصرًا
الثلاثاء والأربعاء: من 8:15 صباحًا إلى 2:00 ظهرًا
الخميس: قبول الطلاب الجدد فقط من 9:00 صباحًا إلى 3:00 ظهرًا
العنوان: حي المساعد",ar,
ماهو عنوان ومواعيد عمل فرع القنطرة؟ ,"مواعيد العمل: من السبت إلى الأربعاء
من 9:00 صباحًا إلى 4:00 مساءً
العنوان: القنطرة شرق بعد المعدية",ar,
ماهو عنوان ومواعيد عمل برج سما الاداري؟ ,"مواعيد العمل: من الأحد إلى الخميس
من 9:00 صباحًا إلى 4:00 مساءً
العنوان: دائري المعادي أمام كارفور بجانب أبراج البارون، بجانب أبراج سما",ar,
